,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
470,WS13,WS,13,Visperterminen,6298,635800,123100,46.25837,7.90293,1345,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,c_higg
471,WS14,WS,14,Torbel,6296,631800,120800,46.23789,7.8509,481,c_ä_übof,NA,c_i,c_e_geschl / c_è_neutr,c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang,c_Lh,c_l,c_gluffe,c_gaa,c_higg
472,WS15,WS,15,Staldenried,6294,634200,119900,46.22967,7.88194,537,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang,c_Lh,c_l,c_gluffe,c_gaa,c_higg
473,WS16,WS,16,Grachen,6285,630900,116000,46.19475,7.83891,1251,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_glüffe,c_gaa,c_higg
474,WS17,WS,17,St_Niklaus,6292,628100,113900,46.17598,7.80251,2239,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang / c_lang,c_Lh,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
475,WS18,WS,18,Randa,6287,626800,105600,46.10137,7.78521,435,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang / c_lang,c_Lch,c_l,c_gluffe / c_glüffe,c_gaa,c_higg
476,WS19,WS,19,Tasch,6295,626300,101800,46.06721,7.77853,1322,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_kurz / c_halblang / c_lang,c_Lch,c_l,c_glüffe,c_gaa,c_higg
477,WS20,WS,20,Zermatt,6300,623900,96500,46.01962,7.74724,5758,c_ä_übof,NA,c_i,c_e_geschl,NA,c_ii,c_üü,c_e,c_lang,c_Lch,c_l,c_gluffe,c_gaa,c_higg
478,WS21,WS,21,Saas_Grund,6291,638600,108100,46.12329,7.938,1000,c_ä_übof,NA,c_i,c_e_geschl,c_e_neutr,c_ii,c_üü,c_e,c_halblang,c_Lh,c_l,c_gluffe,c_gaa,c_higg
479,WS22,WS,22,Mund,6006,638800,129500,46.31578,7.94237,544,c_ä_übof,NA,c_i,c_ä_übof,c_e_neutr,c_ii,c_üü,c_e,c_kurz,c_Lch,c_l,c_gluffe,c_gaa,c_higg
